validation_event,gradient_weight,outcome_weight,matches,mean_score_points,mean_outcome_points,mean_total_points
2016 Euro/Copa,0.0,0.0,83,5.36144578313253,18.795180722891565,24.156626506024097
2016 Euro/Copa,0.0,0.1,83,5.36144578313253,18.795180722891565,24.156626506024097
2016 Euro/Copa,0.0,0.2,83,5.36144578313253,19.75903614457832,25.120481927710845
2016 Euro/Copa,0.0,0.3,83,5.36144578313253,19.75903614457832,25.120481927710845
2016 Euro/Copa,0.0,0.4,83,5.36144578313253,18.795180722891565,24.156626506024097
2016 Euro/Copa,0.0,0.6,83,5.36144578313253,17.83132530120482,23.19277108433735
2016 Euro/Copa,0.05,0.0,83,5.240963855421687,18.795180722891565,24.03614457831325
2016 Euro/Copa,0.05,0.1,83,5.240963855421687,18.795180722891565,24.03614457831325
2016 Euro/Copa,0.05,0.2,83,5.240963855421687,19.75903614457832,25.0
2016 Euro/Copa,0.05,0.3,83,5.240963855421687,19.75903614457832,25.0
2016 Euro/Copa,0.05,0.4,83,5.240963855421687,18.795180722891565,24.03614457831325
2016 Euro/Copa,0.05,0.6,83,5.240963855421687,17.83132530120482,23.072289156626507
2016 Euro/Copa,0.1,0.0,83,5.301204819277109,19.27710843373494,24.57831325301205
2016 Euro/Copa,0.1,0.1,83,5.301204819277109,18.795180722891565,24.09638554216868
2016 Euro/Copa,0.1,0.2,83,5.301204819277109,19.75903614457832,25.06024096385542
2016 Euro/Copa,0.1,0.3,83,5.301204819277109,19.27710843373494,24.57831325301205
2016 Euro/Copa,0.1,0.4,83,5.301204819277109,18.795180722891565,24.09638554216868
2016 Euro/Copa,0.1,0.6,83,5.301204819277109,17.83132530120482,23.132530120481928
2016 Euro/Copa,0.15,0.0,83,5.301204819277109,19.27710843373494,24.57831325301205
2016 Euro/Copa,0.15,0.1,83,5.301204819277109,18.795180722891565,24.09638554216868
2016 Euro/Copa,0.15,0.2,83,5.301204819277109,19.27710843373494,24.57831325301205
2016 Euro/Copa,0.15,0.3,83,5.301204819277109,18.795180722891565,24.09638554216868
2016 Euro/Copa,0.15,0.4,83,5.301204819277109,18.795180722891565,24.09638554216868
2016 Euro/Copa,0.15,0.6,83,5.301204819277109,17.83132530120482,23.132530120481928
2016 Euro/Copa,0.3,0.0,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.3,0.1,83,5.180722891566265,19.27710843373494,24.457831325301203
2016 Euro/Copa,0.3,0.2,83,5.180722891566265,19.27710843373494,24.457831325301203
2016 Euro/Copa,0.3,0.3,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.3,0.4,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.3,0.6,83,5.180722891566265,17.83132530120482,23.012048192771083
2016 Euro/Copa,0.45,0.0,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.45,0.1,83,5.180722891566265,19.27710843373494,24.457831325301203
2016 Euro/Copa,0.45,0.2,83,5.180722891566265,18.3132530120482,23.49397590361446
2016 Euro/Copa,0.45,0.3,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.45,0.4,83,5.180722891566265,18.795180722891565,23.97590361445783
2016 Euro/Copa,0.45,0.6,83,5.180722891566265,18.3132530120482,23.49397590361446
2016 Euro/Copa,0.6,0.0,83,4.879518072289157,19.27710843373494,24.156626506024097
2016 Euro/Copa,0.6,0.1,83,4.879518072289157,19.27710843373494,24.156626506024097
2016 Euro/Copa,0.6,0.2,83,4.879518072289157,18.3132530120482,23.19277108433735
2016 Euro/Copa,0.6,0.3,83,4.879518072289157,18.795180722891565,23.674698795180724
2016 Euro/Copa,0.6,0.4,83,4.879518072289157,18.795180722891565,23.674698795180724
2016 Euro/Copa,0.6,0.6,83,4.879518072289157,18.3132530120482,23.19277108433735
2018 World Cup,0.0,0.0,64,4.609375,20.625,25.234375
2018 World Cup,0.0,0.1,64,4.609375,20.0,24.609375
2018 World Cup,0.0,0.2,64,4.609375,20.0,24.609375
2018 World Cup,0.0,0.3,64,4.609375,20.0,24.609375
2018 World Cup,0.0,0.4,64,4.609375,20.0,24.609375
2018 World Cup,0.0,0.6,64,4.609375,20.0,24.609375
2018 World Cup,0.05,0.0,64,4.609375,20.625,25.234375
2018 World Cup,0.05,0.1,64,4.609375,20.625,25.234375
2018 World Cup,0.05,0.2,64,4.609375,20.0,24.609375
2018 World Cup,0.05,0.3,64,4.609375,20.0,24.609375
2018 World Cup,0.05,0.4,64,4.609375,20.625,25.234375
2018 World Cup,0.05,0.6,64,4.609375,20.0,24.609375
2018 World Cup,0.1,0.0,64,4.609375,20.625,25.234375
2018 World Cup,0.1,0.1,64,4.609375,20.625,25.234375
2018 World Cup,0.1,0.2,64,4.609375,20.625,25.234375
2018 World Cup,0.1,0.3,64,4.609375,20.0,24.609375
2018 World Cup,0.1,0.4,64,4.609375,20.625,25.234375
2018 World Cup,0.1,0.6,64,4.609375,20.0,24.609375
2018 World Cup,0.15,0.0,64,4.21875,20.625,24.84375
2018 World Cup,0.15,0.1,64,4.21875,20.625,24.84375
2018 World Cup,0.15,0.2,64,4.21875,20.0,24.21875
2018 World Cup,0.15,0.3,64,4.21875,20.625,24.84375
2018 World Cup,0.15,0.4,64,4.21875,20.625,24.84375
2018 World Cup,0.15,0.6,64,4.21875,20.0,24.21875
2018 World Cup,0.3,0.0,64,3.59375,21.25,24.84375
2018 World Cup,0.3,0.1,64,3.59375,20.625,24.21875
2018 World Cup,0.3,0.2,64,3.59375,20.625,24.21875
2018 World Cup,0.3,0.3,64,3.59375,21.25,24.84375
2018 World Cup,0.3,0.4,64,3.59375,20.625,24.21875
2018 World Cup,0.3,0.6,64,3.59375,19.375,22.96875
2018 World Cup,0.45,0.0,64,3.828125,20.0,23.828125
2018 World Cup,0.45,0.1,64,3.828125,20.625,24.453125
2018 World Cup,0.45,0.2,64,3.828125,20.625,24.453125
2018 World Cup,0.45,0.3,64,3.828125,21.25,25.078125
2018 World Cup,0.45,0.4,64,3.828125,20.0,23.828125
2018 World Cup,0.45,0.6,64,3.828125,18.125,21.953125
2018 World Cup,0.6,0.0,64,4.453125,20.625,25.078125
2018 World Cup,0.6,0.1,64,4.453125,20.625,25.078125
2018 World Cup,0.6,0.2,64,4.453125,20.0,24.453125
2018 World Cup,0.6,0.3,64,4.453125,20.625,25.078125
2018 World Cup,0.6,0.4,64,4.453125,19.375,23.828125
2018 World Cup,0.6,0.6,64,4.453125,18.75,23.203125
2019 continental,0.0,0.0,160,5.84375,24.75,30.59375
2019 continental,0.0,0.1,160,5.84375,24.75,30.59375
2019 continental,0.0,0.2,160,5.84375,25.0,30.84375
2019 continental,0.0,0.3,160,5.84375,25.25,31.09375
2019 continental,0.0,0.4,160,5.84375,25.0,30.84375
2019 continental,0.0,0.6,160,5.84375,25.0,30.84375
2019 continental,0.05,0.0,160,6.0,25.0,31.0
2019 continental,0.05,0.1,160,6.0,24.75,30.75
2019 continental,0.05,0.2,160,6.0,25.0,31.0
2019 continental,0.05,0.3,160,6.0,25.0,31.0
2019 continental,0.05,0.4,160,6.0,25.0,31.0
2019 continental,0.05,0.6,160,6.0,24.75,30.75
2019 continental,0.1,0.0,160,6.28125,25.0,31.28125
2019 continental,0.1,0.1,160,6.28125,24.75,31.03125
2019 continental,0.1,0.2,160,6.28125,25.0,31.28125
2019 continental,0.1,0.3,160,6.28125,25.0,31.28125
2019 continental,0.1,0.4,160,6.28125,25.25,31.53125
2019 continental,0.1,0.6,160,6.28125,24.75,31.03125
2019 continental,0.15,0.0,160,6.34375,24.75,31.09375
2019 continental,0.15,0.1,160,6.34375,24.75,31.09375
2019 continental,0.15,0.2,160,6.34375,25.0,31.34375
2019 continental,0.15,0.3,160,6.34375,25.25,31.59375
2019 continental,0.15,0.4,160,6.34375,25.5,31.84375
2019 continental,0.15,0.6,160,6.34375,24.5,30.84375
2019 continental,0.3,0.0,160,6.375,25.0,31.375
2019 continental,0.3,0.1,160,6.375,25.25,31.625
2019 continental,0.3,0.2,160,6.375,25.25,31.625
2019 continental,0.3,0.3,160,6.375,25.25,31.625
2019 continental,0.3,0.4,160,6.375,25.5,31.875
2019 continental,0.3,0.6,160,6.375,24.5,30.875
2019 continental,0.45,0.0,160,6.3125,25.25,31.5625
2019 continental,0.45,0.1,160,6.3125,25.25,31.5625
2019 continental,0.45,0.2,160,6.3125,25.5,31.8125
2019 continental,0.45,0.3,160,6.3125,25.25,31.5625
2019 continental,0.45,0.4,160,6.3125,25.25,31.5625
2019 continental,0.45,0.6,160,6.3125,24.5,30.8125
2019 continental,0.6,0.0,160,5.875,25.75,31.625
2019 continental,0.6,0.1,160,5.875,25.75,31.625
2019 continental,0.6,0.2,160,5.875,25.5,31.375
2019 continental,0.6,0.3,160,5.875,25.25,31.125
2019 continental,0.6,0.4,160,5.875,25.0,30.875
2019 continental,0.6,0.6,160,5.875,24.75,30.625
2021 Euro/Copa,0.0,0.0,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.0,0.1,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.0,0.2,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.0,0.3,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.0,0.4,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.0,0.6,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.0,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.1,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.2,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.3,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.4,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.05,0.6,79,7.025316455696203,23.79746835443038,30.82278481012658
2021 Euro/Copa,0.1,0.0,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.1,0.1,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.1,0.2,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.1,0.3,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.1,0.4,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.1,0.6,79,7.215189873417722,23.79746835443038,31.0126582278481
2021 Euro/Copa,0.15,0.0,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.15,0.1,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.15,0.2,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.15,0.3,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.15,0.4,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.15,0.6,79,7.341772151898734,23.79746835443038,31.13924050632912
2021 Euro/Copa,0.3,0.0,79,7.531645569620253,22.78481012658228,30.31645569620253
2021 Euro/Copa,0.3,0.1,79,7.531645569620253,23.79746835443038,31.329113924050635
2021 Euro/Copa,0.3,0.2,79,7.531645569620253,23.79746835443038,31.329113924050635
2021 Euro/Copa,0.3,0.3,79,7.531645569620253,23.79746835443038,31.329113924050635
2021 Euro/Copa,0.3,0.4,79,7.531645569620253,23.79746835443038,31.329113924050635
2021 Euro/Copa,0.3,0.6,79,7.531645569620253,23.79746835443038,31.329113924050635
2021 Euro/Copa,0.45,0.0,79,7.7215189873417724,22.27848101265823,30.0
2021 Euro/Copa,0.45,0.1,79,7.7215189873417724,22.78481012658228,30.50632911392405
2021 Euro/Copa,0.45,0.2,79,7.7215189873417724,23.29113924050633,31.0126582278481
2021 Euro/Copa,0.45,0.3,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.45,0.4,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.45,0.6,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.6,0.0,79,7.594936708860759,22.27848101265823,29.873417721518987
2021 Euro/Copa,0.6,0.1,79,7.594936708860759,22.27848101265823,29.873417721518987
2021 Euro/Copa,0.6,0.2,79,7.594936708860759,22.78481012658228,30.37974683544304
2021 Euro/Copa,0.6,0.3,79,7.594936708860759,23.29113924050633,30.88607594936709
2021 Euro/Copa,0.6,0.4,79,7.594936708860759,23.79746835443038,31.39240506329114
2021 Euro/Copa,0.6,0.6,79,7.594936708860759,23.79746835443038,31.39240506329114
2022 AFCON,0.0,0.0,52,7.019230769230769,19.23076923076923,26.25
2022 AFCON,0.0,0.1,52,7.019230769230769,19.23076923076923,26.25
2022 AFCON,0.0,0.2,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.3,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.4,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.6,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.05,0.0,52,6.538461538461538,19.23076923076923,25.76923076923077
2022 AFCON,0.05,0.1,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.2,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.3,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.4,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.6,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.1,0.0,52,6.153846153846154,19.23076923076923,25.384615384615383
2022 AFCON,0.1,0.1,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.2,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.3,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.4,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.6,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.0,52,6.153846153846154,20.0,26.15384615384616
2022 AFCON,0.15,0.1,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.2,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.3,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.4,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.6,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.3,0.0,52,4.326923076923077,19.23076923076923,23.557692307692307
2022 AFCON,0.3,0.1,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.3,0.2,52,4.326923076923077,18.46153846153846,22.78846153846154
